d9297df4-0288-11ee-8e33-f875a47c197c,春天花会开 | 以知相逢以音共奏,82dea12a-0288-11ee-af47-f875a47c197c,介绍：湖南卫视大型民歌竞唱节目《春天花会开》3月11日起每周五20:10播出。节目中年轻的歌者，以多元的音乐样貌，新唱、新编、新创民族音乐。,https://p1.music.126.net/DT_Tgm1RT5e7aeECkkarwQ==/109951167319884458.jpg,网易云音乐,71,49,58895
dd6dffbf-0288-11ee-9bd0-f875a47c197c,流行摇滚唱片行 | 聆听华语流行摇滚的自由呐喊,82dec82f-0288-11ee-8ac6-f875a47c197c,介绍：无论你是摇滚乐迷 还是想要尝试新的音乐风格 都请一起来尽情感受流行摇滚青春的力量和激情,https://p1.music.126.net/ekzOuxy0D0wdwdnPXAwwGw==/109951168634393900.jpg,云音乐官方歌单,18,60,134600
e18ba060-0288-11ee-8dea-f875a47c197c,声生不息·宝岛季 | 有歌之年，歌自宝岛来,82deef59-0288-11ee-8292-f875a47c197c,介绍：《声生不息·宝岛季》是由芒果TV洪啸工作室制作的一档以台湾金曲为内容的音乐文化交流节目。借以年代为线索同享音乐盛宴，全面梳理和呈现宝岛台湾特色的“中华音乐编年史”。,https://p1.music.126.net/lfZsMVfHI006gUHSA_9SCQ==/109951168604882851.jpg,网易云音乐,159,101,1486670
e5809705-0288-11ee-a1af-f875a47c197c,嗨唱转起来 | 综艺音频全收录,82deef5a-0288-11ee-9307-f875a47c197c,介绍：《嗨唱转起来》是由湖南卫视安德胜工作室和刘伟工作室联合制作的全民音乐综艺互动秀节目。该节目由谢娜等嘉宾组成嗨唱大玩家，召集各领域的音乐达人演唱具有时代意义的经典歌曲。,https://p1.music.126.net/izP2kF6ZYhGgEUZcbxbdmA==/109951166589225518.jpg,网易云音乐,2,100,9427
e9718cff-0288-11ee-af69-f875a47c197c,深夜归路人 | 给深夜归家的你留一盏灯,82deef5b-0288-11ee-9224-f875a47c197c,介绍：独自在深夜里踏上归程，凝视窗外，月明星稀，晚风微凉。即便再晚，也有音乐相伴，给夜归的你留一盏灯，晚安陌生人。,https://p1.music.126.net/IUmWc-UQ_eFeqb3WuKS2Dg==/109951168607118732.jpg,云音乐官方歌单,28,60,2627772
ed76bdf0-0288-11ee-b71e-f875a47c197c,快乐到底 | 在欢快的节奏中让快乐DNA动起来,82df1416-0288-11ee-b18a-f875a47c197c,介绍：戴上耳机放下烦恼，将快乐进行到底！,https://p1.music.126.net/eecEsh0hC5tJNaESmZOIhQ==/109951168607131907.jpg,云音乐官方歌单,13,59,535200
f1cad0c1-0288-11ee-9e6a-f875a47c197c,戴佩妮精选 | 一朵叛逆的野蔷薇,82df1417-0288-11ee-a161-f875a47c197c,介绍：戴佩妮的唱片从来不缺态度，这次带来新专辑《被动的观众》引人联想的唱片名，是一张思想与情绪主导的唱片。戴佩妮依然包办词曲全创作，这也保证了这张唱片完整反映歌手身为创作者的所思所想所感。,https://p1.music.126.net/2Kw7ph-FB-74KQ2AnEQvOQ==/109951168604728787.jpg,网易云音乐,3,41,81466
f5c85b54-0288-11ee-a2d2-f875a47c197c,草莓星球来的人 | 综艺音频全收录,82df1418-0288-11ee-9697-f875a47c197c,介绍：本歌单收录《草莓星球来的人》节目音频。《草莓星球来的人》是优酷、摩登天空、大麦、沐光时代联合推出的户外音乐竞演真人秀。节目由池子担任节目MC及安可团成员，张亚东、GAI、萧敬腾担任安可团成员。,https://p1.music.126.net/OBtMSRRltlyGrpGri9UhLw==/109951168604882844.jpg,网易云音乐,6,96,8541
fa0018d6-0288-11ee-8591-f875a47c197c,摩登天空 | 你的单曲循环有多少来自摩登,82df3baf-0288-11ee-8b49-f875a47c197c,介绍：摩登天空是目前中国最大规模的新音乐独立唱片公司，旗下艺人众多，痛仰、新裤子、二手玫瑰等许多我们熟知的乐队都是来自摩登天空。他们以摇滚与浪漫，电子与迷幻，将绮丽与悲伤的梦藏进live里。,https://p1.music.126.net/j2EOgl5oD3VmtacIg_oYGA==/109951168604597469.jpg,云音乐歌单之友,46,53,560715
fe1fbb6e-0288-11ee-96ed-f875a47c197c,为歌而赞 | 乐无正解 百赞成歌,82df3bb0-0288-11ee-a927-f875a47c197c,介绍：《为歌而赞第二季》是浙江卫视与抖音联合出品的跨屏互动音乐综艺。节目集结几十组实力歌手与新世代音乐人，以“热歌VS新歌”的形式进行音乐舞台竞演。,https://p1.music.126.net/DBPlpMnYvT03gQPjRqTgNA==/109951168604881364.jpg,网易云音乐,4,100,67727
023ac526-0289-11ee-86be-f875a47c197c,情绪SPA | 治愈你的疲惫,8462aefe-0288-11ee-8d65-f875a47c197c,介绍：收拾收拾情绪 让音乐为你治愈疲惫,https://p1.music.126.net/XYurlA5x_6IhuOfk3pHBuQ==/109951168607224208.jpg,云音乐官方歌单,1,80,50667
067aaaae-0289-11ee-87a9-f875a47c197c,夜幕低垂 | 沉浸于爵士浪漫之夜,8462d612-0288-11ee-b05e-f875a47c197c,介绍：沉浸于爵士浪漫之夜,https://p1.music.126.net/2CPtlFwOr0chjW04MHx0fg==/109951168652188939.jpg,云音乐歌单之友,评论,40,471
